ID,Area,Feature,Persona,I want,So that,Expected behavior (acceptance criteria),Key files,Existing tests,Impl status (code-judged),Test result (Phase 2),Issue/Notes (Phase 2-3)
F045,Proposals (lifecycle),A parked Proposal survives a Core restart and stays decidable,the owner,to quit/relaunch the app while a Proposal sits pending,the Proposal is still there to decide and the Run still resumes after I restart Core,"On boot, the recovery sweep (`db::recover_interrupted_runs`, ADR-0012) errors only Runs left `status='running'` (`UPDATE runs SET status='errored', terminal_reason='core_restarted' ... WHERE status='running'`) and appends a terminal error Run Log row for each. `parked` Runs are PRESERVED (the WHERE clause excludes them), so a parked Run stays decidable across the restart (the durable persist-then-resume is exactly why tear-down+resume was chosen over keep-alive, ADR-0025). After restart the Client reconnects via `run/subscribe`, reads `parked`, and is re-pushed `proposal/pending`; deciding then resumes via the normal path. The boot sweep prints `INKSTONE_RECOVERED {n}` and emits `core.runs_recovered`.",crates/core/src/main.rs:89 | crates/core/src/db/queries.rs:203 | crates/core/src/db/mod.rs:1585,"crates/core/tests/proposal_restart.rs; reconnect-parked.spec.ts (reload drops socket, Run stays parked, card returns)",implemented,pass,
F046,Proposals (lifecycle),A decided Proposal card survives a page reload,the owner,the settled 'Added to Journal.' / 'Applied.' indicator to persist after a refresh,I don't lose the visible record of a decision that is already durably stored,"ADR-0044 (read-path precedent of ADR-0043), superseded in projection by ADR-0045: the decided outcome rehydrates through the existing `thread/get` read as an ordered `Segment::Proposal{proposal_id, mutation_kind, status, entity_id}` positioned at its chronological run_steps slot (was MessageView.proposal). ONLY DECIDED outcomes rehydrate — the read filters to `status IN ('accepted','rejected')`. A still-`pending` Proposal does NOT rehydrate its interactive card (deferred — a parked Run resumes its review live); a `cancelled` Proposal is cleared live. No payload/rationale rides on the wire for the decided segment (the decided card reads only status + mutation_kind + entity_id, and degrades a missing payload to empty). The client reconstruction is skip-if-present so a live pending/deciding proposal wins over the settled-history view. `mutation_kind` drives the copy/routing; `status` the accepted-vs-rejected branch; `entity_id` lets the card name the created Entity and deep-link to the Library after reload.",crates/core/src/runs/thread_get.rs:46 | docs/adr/0044-decided-proposal-rehydration.md:30 | docs/adr/0045-assistant-turn-segment-timeline.md:1,"proposal-decided-reload.spec.ts (decided card survives reload, sits above copy button, no pending card resurrected); decided-proposal-reload.spec.ts (decided card still names the created Entity + Library link after reload, DB ground truth)",implemented,pass,
F047,Proposals (lifecycle),Cancelling a parked Run clears its pending Proposal,the owner,to Stop a Run that is parked awaiting a Proposal,I abandon the review and the pending Proposal goes away with the Run,"`run/cancel` on a parked Run takes the `crate::cancel` verb's PARKED branch: `db::cancel_parked_run` marks the Run `cancelled` and its pending Proposal `cancelled` (a value in the `proposals.status` CHECK) in ONE tier-2 transaction. NO Worker is signalled (a parked Run's Worker is already torn down) and the Outcome::Accepted carries `hub: None`, so `publish_cancelled` is a no-op — there is no live tail; the client settles off the authoritative cancel response (a synthesized `cancelled`) with the default 'stopped' copy. A second cancel / already-terminal Run returns `already_terminal`; an unknown run returns `unknown_run`. The cancelled Proposal is never accepted, so no post-decision confirmation appears. (Running-Run cancellation is a separate path: Core wins `running -> cancelled`, then signals the live Worker and publishes the terminal `cancelled` Run Event.)",crates/core/src/cancel.rs:63 | crates/core/src/runs/cancel.rs:39 | crates/core/src/runs/cancel.rs:63,run-cancel-parked.spec.ts (clicking Stop cancels a parked run and clears its pending proposal); crates/core/src/cancel.rs parked-branch tests; crates/core/tests/proposal_cancel.rs,implemented,pass,
F048,Proposals (lifecycle),Auto-approve is a Core seam that currently approves nothing,the owner,every Workspace mutation to require my explicit decision in the MVP,the agent never silently writes to my Workspace without review,"`db::should_auto_approve()` is the single auto-approve policy seam (ADR-0016/0025) and returns `false` unconditionally for now — so every `propose_workspace_mutation` parks the Run for manual approval (ADR-0016 slice-1 ships the mechanism with an empty policy table). The Worker is oblivious to auto vs manual; the Tool Result the model eventually sees carries the Decision either way, and both auto and manual would share the single atomic apply path. The forward-compatible design (a per-Workflow auto-approve table consulted by this one function) is architecture-present but data-empty; an auto-approved Proposal would resolve immediately with `{decision:""accept"", auto:true}`, push `proposal/changed` (and `entity/changed`) but NO `proposal/pending`, and the Run would not park.",crates/core/src/db/mod.rs:1008 | crates/core/src/worker/run.rs:151 | docs/adr/0016-proposal-application-policy.md:57,none found (the false-returning seam is exercised implicitly by every parking path; no dedicated auto-approve=true test since policy is empty),partial,verify,
F049,Proposal Card UI,Proposal card dispatches single-entity vs intent-graph review,the owner,the review card to render the right surface for each proposal kind,a multi-entity graph gets a node-by-node queue while every other change gets a scalar accept/edit/reject card,"ProposalCard (ProposalCard.tsx:562) is a pure dispatcher with no hooks: when proposal.mutation_kind === 'apply_intent_graph' it returns <IntentGraphReviewCard>, otherwise <SingleEntityProposalCard>. The two decision models live in separate components so their hook order is independent. AssistantProposals (AssistantProposals.tsx:8) renders the live pending proposal for a run via useProposalForRun(runId); returns null when there is no proposal. Per-kind presentation comes from PROPOSAL_VIEWS (ProposalCard.tsx:174), a Record keyed by 11 ProposalKind strings (create/update/delete_journal_entry, reference_existing_entity_from_journal_entry, create/update_person, create/update_project, create/update_todo, apply_intent_graph). Each ProposalView supplies glyph, acceptGlyph, summary(payload), reviewCopy, accepted/rejectedCopy, accept/reject labels (+ busy variants), canEdit, and renderBody. Edge: glyphs reuse KIND_META iconography (kinds differ by glyph+label, never colour alone — a11y).",apps/web/src/components/ProposalCard.tsx:562 | apps/web/src/components/ProposalCard.tsx:174 | apps/web/src/components/AssistantProposals.tsx:8,"e2e proposal-captured-response.spec.ts (journal create card), intent-graph-review.spec.ts (graph card); unit ProposalCard.test.tsx",implemented,pass,
F050,Proposal Card UI,Unrecognized proposal kind degrades to a safe fallback view,the owner,an unknown mutation_kind to render a legible card rather than crash or go blank,a wire string the worker shouldn't send still degrades gracefully,"proposalView (ProposalCard.tsx:364) gates on Object.hasOwn(PROPOSAL_VIEWS, mutationKind) rather than a bare ?? — indexing with a prototype key ('toString','constructor') would otherwise return an inherited truthy Object.prototype member and the card would crash reading .summary off a function. A non-own key resolves to fallbackView(kind) (ProposalCard.tsx:347), which renders like a generic Journal-Entry create, echoes the raw kind into reviewCopy ('Inkstone wants to create a <kind>.'), is never editable (canEdit:()=>false), and renders no detail body (renderNoBody) because the payload shape is unknown. Comment notes this is unreachable by contract (worker only proposes the listed kinds) but mutation_kind is a bare string on the wire (ADR-0014).",apps/web/src/components/ProposalCard.tsx:364 | apps/web/src/components/ProposalCard.tsx:347,none found (unit ProposalCard.test.tsx may cover; not confirmed),implemented,verify,
F051,Proposal Card UI,Journal create/update/delete render mode-specific diff bodies,the owner,"to see what a journal-entry proposal will create, replace, or remove",I can review the exact change before accepting,"renderJournalBody (ProposalCard.tsx:2071) shares one two-root diff selected by mode. create → 'Proposed entry' only; update → 'Current entry' (from reviewContext.current_journal_entry, if present) + 'Proposed entry'; delete → 'Current entry' only (no proposed), and when reviewContext is absent shows 'Current entry details unavailable.' Each EntrySection (ProposalCard.tsx:1982) shows Occurred (or 'Unknown'), Ended (only if present), and Body (or 'Empty'). journalBody (ProposalCard.tsx:425) flattens the body[] array, rendering text nodes as their text and entity_ref nodes as the literal '[entity_ref]'. Summaries: create → journalBody||'Untitled entry'; update → 'Update Journal Entry'; delete → 'Delete Journal Entry'. All reads go through defensive helpers (textField/objectField/arrayField/journalBody) so a null/missing/wrong-typed payload degrades rather than throws (payload is unvalidated wire — ADR-0009/0014).",apps/web/src/components/ProposalCard.tsx:2071 | apps/web/src/components/ProposalCard.tsx:1982 | apps/web/src/components/ProposalCard.tsx:425 | apps/web/src/components/ProposalCard.tsx:189,e2e proposal-captured-response.spec.ts (asserts body text + occurred_at on a create card); mutation-descriptor-verify.spec.ts,implemented,pass,
F052,Proposal Card UI,Person/Project/Todo proposals render their detail bodies,the owner,"to see the proposed Person, Project, or Todo fields",I can confirm the entity is correct before adding it,"renderPersonBody (ProposalCard.tsx:2131) renders a 'Person' section (Name||'Unknown', Note if present, Aliases joined if any); when reviewContext.current_person exists (update_person) it stacks 'Current' + 'Replacing with' so a field present in the current body but omitted from the full-document replace stays visible (ADR-0016). renderProjectBody (ProposalCard.tsx:2170) mirrors this with Name/Outcome/Status/Note and a 'Current'+'Replacing with' stack when current_project is present. renderCreateTodoBody (ProposalCard.tsx:2189) reads the inner todo{} object: Title||'Untitled', Note/Status/Project (project_id) if present, plus person_refs rendered via personRefFields. renderUpdateTodoBody (ProposalCard.tsx:2212) shows a 'Changes' section: Todo (todo_id||'Unknown'), then only the partial keys present (Title/Note/Status/Project), set_person_refs as 'Set', add_person_refs as 'Add', and remove_person_ids joined as 'Remove'. update_person/update_project reuse the create renderers (full-document REPLACE; entity_id rides untouched, not surfaced). personRefLine (ProposalCard.tsx:2020) returns null for refs with no person_id and labels role 'waiting_on' as 'Waiting on:' else 'Related:'; personRefFields keys rows by value+occurrence counter to avoid duplicate-key collisions on identical unvalidated refs.",apps/web/src/components/ProposalCard.tsx:2131 | apps/web/src/components/ProposalCard.tsx:2170 | apps/web/src/components/ProposalCard.tsx:2189 | apps/web/src/components/ProposalCard.tsx:2212 | apps/web/src/components/ProposalCard.tsx:2020,none found at e2e level for person/project bodies; proposal-edit-todo.spec.ts touches a create_todo card title,implemented,verify,
F053,Proposal Card UI,Accept and reject a single-entity proposal with per-kind labels and busy states,the owner,clearly labelled accept/dismiss buttons that show progress and disable during the decide,I can apply or decline a change and see it is in flight,"SingleEntityProposalCard footer (ProposalCard.tsx:840) renders an accept button (view.acceptLabel + view.acceptGlyph; e.g. 'Add Journal Entry'/'Add Person'/'Update Todo') and a ghost reject button (view.rejectLabel; e.g. 'Dismiss'/'Keep current Todo'). decide(decision) (ProposalCard.tsx:639) sets local inFlight, records lastAttempt, and calls onDecide. While status==='deciding' both buttons are disabled (submitting = deciding || inFlight!==null) and the in-flight button swaps to a spinning Loader2 + busy label (acceptBusyLabel/rejectBusyLabel). The accept button is also disabled when !canApply. onDecide flows to decideProposal (bridge.ts:289) which guards double-submits (returns if already 'deciding'), sends proposal/decide, sets status from the result and re-subscribes for the resume tail; reject does not invalidate the library cache (creates nothing) while accept/edit do (AssistantProposals.tsx:28).",apps/web/src/components/ProposalCard.tsx:840 | apps/web/src/components/ProposalCard.tsx:639 | apps/web/src/store/bridge.ts:289 | apps/web/src/components/AssistantProposals.tsx:28,"e2e proposal-captured-response.spec.ts, mutation-descriptor-verify.spec.ts, proposal-decided-reload.spec.ts (accept paths)",implemented,pass,
F054,Proposal Card UI,Journal accept/save is gated on payload validity with inline error copy,the owner,to be blocked from applying an invalid journal entry and told what is wrong,I don't submit a malformed timestamp or empty body,"journalPayloadIssue (ProposalCard.tsx:467) validates create/update journal payloads: occurred_at must match YYYY-MM-DDTHH:MM:SS (isLocalDateTime regex), ended_at if non-empty must match the same format and be lexicographically >= occurred_at ('ended at must be after occurred at'), body must be non-empty, and for update the entity_id must be non-empty. payloadIssue (accept gate, ProposalCard.tsx:620) is computed only for create/update journal kinds (GTD kinds carry no journal validation → canApply always true). canApply = payloadIssue===null disables the accept button. When payloadIssue is non-null a role='alert' destructive message renders ('Edit required fields: <issue>.'). editIssue (ProposalCard.tsx:658) re-runs the validator against the live edit-form fields to gate Save. Edge: an error status with a payloadIssue shows the issue text; an error with no issue shows ""Couldn't apply. Try again.""",apps/web/src/components/ProposalCard.tsx:467 | apps/web/src/components/ProposalCard.tsx:620 | apps/web/src/components/ProposalCard.tsx:828,none found at e2e level (validation gate not directly exercised),implemented,verify,
F055,Proposal Card UI,Inline Edit affordance shown only for editable kinds,the owner,an Edit button only when the proposal can be safely edited,"I don't try to edit a delete, a reference weave, or an entity-linked journal entry","canEdit = view.canEdit(bodyHasEntityRef) (ProposalCard.tsx:619). Journal create/update are editable only when the body carries no entity_ref (canEdit:(bodyHasEntityRef)=>!bodyHasEntityRef) — bodyHasEntityRef is true if either the payload OR the current journal entry has an entity_ref node (ProposalCard.tsx:592, journalBodyHasEntityRef:441). All GTD create/update kinds are always editable (canEdit:()=>true). delete_journal_entry, reference_existing_entity_from_journal_entry, apply_intent_graph, and the fallback are never editable (canEdit:()=>false). The Edit button (ProposalCard.tsx:886, variant='chip', Pencil glyph) renders only when canEdit and is disabled while submitting. openEdit (ProposalCard.tsx:663) no-ops if !canEdit; for non-GTD it re-seeds the journal form fields, for GTD it just flips editing=true (GtdEditForm seeds itself on its fresh mount).",apps/web/src/components/ProposalCard.tsx:619 | apps/web/src/components/ProposalCard.tsx:886 | apps/web/src/components/ProposalCard.tsx:663 | apps/web/src/components/ProposalCard.tsx:441,"e2e mutation-descriptor-verify.spec.ts (edit on create_journal_entry), proposal-edit-todo.spec.ts (edit on create_todo)",implemented,pass,
F056,Proposal Card UI,Inline-edit a journal-entry proposal before accepting,the owner,to correct Occurred at / Ended at / Body and save the edited entry,"the accepted journal entry reflects my correction, not the model's draft","For non-GTD editable kinds the editing branch renders an inline <form> (ProposalCard.tsx:757) with EditorInput 'Occurred at', 'Ended at', and an autoFocus EditorTextarea 'Body'. editIssue gates Save (disabled + role='alert' on a validation issue). saveEdit (ProposalCard.tsx:675) bails if inFlight or status==='deciding' or editIssue!==null; builds journalPayload(editOccurredAt, editBody, editEndedAt) (trims fields, omits ended_at when blank, wraps body as a single text node), and for update prepends the preserved entity_id ({entity_id, ...editedPayload}); sets inFlight='edit', closes the form, records lastAttempt, and calls onDecide('edit', decisionPayload). Cancel (ProposalCard.tsx:802) closes the form discarding edits. decideProposal forwards edited_payload only when decision==='edit' (bridge.ts:311).",apps/web/src/components/ProposalCard.tsx:757 | apps/web/src/components/ProposalCard.tsx:675 | apps/web/src/components/ProposalCard.tsx:451 | apps/web/src/store/bridge.ts:311,"e2e mutation-descriptor-verify.spec.ts ('edit changes the Journal Entry then resumes' — fills Body, asserts edited body persisted to Library)",implemented,pass,
F057,Proposal Card UI,Inline-edit GTD create proposals (Todo/Person/Project) via the deep GtdEditForm,the owner,to correct the surfaced fields of a proposed Todo/Person/Project before adding it,the created entity matches my intent without me re-creating it manually,"isGtdEditKind (proposalEdit.ts:61) selects GtdEditForm at the editing fork (ProposalCard.tsx:748). GtdEditForm (ProposalCard.tsx:1004) resolves the variant via gtdEditVariant (proposalEdit.ts:54, Object.hasOwn-gated), seeds ONE useState draft from payload on its fresh mount (re-seed-per-open), and renders exactly the surfaced fields per variant: todo_create → Title(autoFocus)/Note/Status select; person → Name(autoFocus)/Note/Aliases (comma-separated placeholder); project → Name(autoFocus)/Outcome/Note/Status select (active/on_hold/completed/dropped). Save is gated on the variant's required field via gtdRequiredEmpty (ProposalCard.tsx:959): blank title (todo_create) or blank name (person/project) disables Save. On submit GtdEditForm runs gtdOverlay (ProposalCard.tsx:976) producing the finished wire payload and calls onSave → saveGtdEdit (ProposalCard.tsx:690) commits through the same inFlight/lastAttempt/retry plumbing as the journal saveEdit. Edge: a null variant (non-GTD kind) renders nothing (state===null guard, ProposalCard.tsx:1031).",apps/web/src/components/ProposalCard.tsx:1004 | apps/web/src/components/ProposalCard.tsx:690 | apps/web/src/lib/proposalEdit.ts:54 | apps/web/src/lib/proposalEdit.ts:37,"e2e proposal-edit-todo.spec.ts (edit a create_todo title, assert edited title persists, original never reaches DB); unit proposalEdit.test.ts",implemented,pass,
F058,Proposal Card UI,GTD edit overlays preserve unsurfaced fields and omit blank optionals (create/full-replace),the owner,editing only the surfaced fields to leave everything else in the proposal intact,my correction doesn't accidentally drop or corrupt fields I never saw,"Each overlay clones the proposed payload (clonePayload, proposalEdit.ts:96, structuredClone; {} for null/non-object) and overwrites ONLY surfaced keys. overlayCreateTodo (proposalEdit.ts:137) preserves person_refs, source_journal_entry_id, and every unsurfaced todo{} field (project_id, due_at, defer_at, recurrence). overlayCreatePerson (proposalEdit.ts:237) preserves source_journal_entry_id; aliases split via parseAliases (trimmed, non-empty). overlayCreateProject (proposalEdit.ts:316) preserves provenance, review ritual (review_every/next_review_at/last_reviewed_at), and dates. Omit-empty (ADR-0033): a blank note/aliases/outcome DELETEs the key (create has no prior to clear, so absent is an omission not a sentinel-null). Status↔timestamp coupling (ADR-0031): only on a status CHANGE — →completed stamps completed_at + deletes dropped_at, →dropped mirrors, →active/→on_hold deletes both; unchanged status leaves stored completed_at/dropped_at intact. update_person/update_project reuse the create seed/overlay directly (full-document REPLACE; entity_id rides untouched through the clone — proposalEdit.ts:466).",apps/web/src/lib/proposalEdit.ts:137 | apps/web/src/lib/proposalEdit.ts:237 | apps/web/src/lib/proposalEdit.ts:316 | apps/web/src/lib/proposalEdit.ts:96,unit proposalEdit.test.ts,implemented,pass,
F059,Proposal Card UI,Editing an update_todo proposal edits the partial in place (omit-vs-sentinel split),the owner,editing a proposed Todo update to only touch the keys the model proposed,declining a proposed change doesn't reach past it to erase unseen stored data,"update_todo is the partial kind: the payload is {todo_id, todo?:{partial}, set/add/remove person refs}. seedUpdateTodo (proposalEdit.ts:391) records titlePresent and statusPresent (whether the partial carried those keys). GtdEditForm's todo_update arm (ProposalCard.tsx:1203) shows Title only when titlePresent, Status select only when statusPresent (surfacing a select would inject an unrequested field into the partial), and always shows Note with autoFocus falling to Note when title is absent. gtdRequiredEmpty for todo_update (ProposalCard.tsx:967) gates only when titlePresent && blank title (a partial with no title key has nothing to gate, so Save stays enabled). overlayUpdateTodo (proposalEdit.ts:420) edits todo{} in place: todo_id and all three ref lists pass byte-for-byte; title/status written only when present; note always surfaced and blanking it OMITS the key (declined change, never a sentinel-null clear of unseen stored data — locked grill decision); status coupling applies only when status surfaced AND changed.",apps/web/src/lib/proposalEdit.ts:391 | apps/web/src/lib/proposalEdit.ts:420 | apps/web/src/components/ProposalCard.tsx:1203 | apps/web/src/components/ProposalCard.tsx:967,unit proposalEdit.test.ts,implemented,pass,
F060,Proposal Card UI,A failed decide surfaces an error and re-issues the same decision on retry,the owner,a Try again button that re-sends exactly what I last attempted,a transient failure doesn't lose my accept/edit/reject choice,"When status==='error' decideProposal's catch (bridge.ts:337) set status to 'error'. The card shows a role='alert' message — the payloadIssue text when present, else ""Couldn't apply. Try again."" (ProposalCard.tsx:828). The footer swaps the accept button for a 'Try again' button (RotateCcw, ProposalCard.tsx:841) wired to retry (ProposalCard.tsx:644), which replays lastAttempt: re-issuing onDecide with the stored decision and, for an edit, its stored editedPayload. Retry is gated on what it will re-send: reject is always allowed; a stored edit is allowed only if its editedPayload is defined; a plain accept is gated on canApply (ProposalCard.tsx:848). The effect at ProposalCard.tsx:631 clears inFlight whenever status leaves 'deciding'. lastAttempt persists across deciding→error so retry re-issues the same decision.",apps/web/src/components/ProposalCard.tsx:841 | apps/web/src/components/ProposalCard.tsx:644 | apps/web/src/store/bridge.ts:337 | apps/web/src/components/ProposalCard.tsx:631,none found at e2e level (error/retry path not exercised by the listed specs),implemented,verify,
F061,Proposal Card UI,A decided proposal collapses to an Applied/dismissed pill with entity name + Library link,the owner,"a settled proposal to show its outcome, the entity name, and a deep-link to the Library",I can confirm what happened and jump to the created/updated entity (the undo answer),"When status is 'accepted' or 'rejected' the single-entity card renders an inline pill (ProposalCard.tsx:698) wearing ToolCallRow chrome (ADR-0045) rather than the bordered Card, carrying data-proposal=run_id and data-proposal-status. Accepted shows a Check + view.acceptedCopy (e.g. 'Added to Journal.'/'Added Person.'); rejected shows view.rejectedCopy (e.g. 'Dismissed.'/'Kept current Todo.') with no check and no link (a reject created nothing). The aria-live='polite' span announces the copy. On accept only, DecidedLibraryLink (ProposalCard.tsx:516, withTitle) resolves proposal.entity_id from the warm useLibraryItems cache and renders the entity's current title (libraryItemTitle) plus a 'View in Library' button (ArrowUpRight) that navigates to /library/$kind with the entity id. Edge: DecidedLibraryLink renders null when entityId is undefined or not (yet) in the cache (still loading / Core unreachable / since-deleted), degrading to the generic decided copy. entity_id is set from the proposal/decide result (bridge.ts:328) and absent on a reject.",apps/web/src/components/ProposalCard.tsx:698 | apps/web/src/components/ProposalCard.tsx:516 | apps/web/src/store/bridge.ts:328,e2e proposal-decided-reload.spec.ts (asserts 'added to journal' pill); the entity-name/Library-link is not directly asserted,implemented,pass,
F062,Proposal Card UI,A decided proposal's outcome survives a page reload,the owner,the settled proposal card to reappear after a refresh,my history of applied/dismissed changes isn't lost on reload,"PendingProposal.status includes accepted/rejected (chat.ts:135) and a rehydrated decided proposal carries entity_id from the proposal SEGMENT (chat.ts:130). rehydrateDecidedProposal (chat.ts:286) reconstructs the settled record cold from thread/get without payload/rationale/resolved_plan (the decided card reads only status + mutation_kind, and every payload reader degrades a missing payload). It no-ops if a proposal already exists for the run (chat.ts:288), and attaches the proposal segment. The card therefore re-renders the accepted/rejected pill after a cold reload. Edge: only the settled outcome rehydrates — no pending card is resurrected.",apps/web/src/store/chat.ts:286 | apps/web/src/store/chat.ts:130 | apps/web/src/store/chat.ts:135,"e2e proposal-decided-reload.spec.ts (accepts a journal proposal, reloads, asserts the accepted pill rehydrates, no pending card resurrected, and the card sits above the copy button)",implemented,pass,
F063,Proposal Card UI,Intent-graph proposal renders a node-by-node review queue,the owner,to review each extracted entity (Person/Project/Todo) as its own row with a disposition badge,I can accept or reject items individually before one atomic apply,"IntentGraphReviewCard (ProposalCard.tsx:1326) renders the resolved_plan as a <ul> of GraphNodeRow items keyed by handle, with the header counting '<n> items to review' (journal-entry anchor is not a plan node). Each row (ProposalCard.tsx:1628) shows the entity glyph (KIND_META[node.type].icon), the label (or handle fallback), and a disposition Badge via DISPOSITION_BADGE (ProposalCard.tsx:1296): create → 'New'(Plus, secondary), reuse → 'Existing'(Check, secondary), ambiguous → 'Needs disambiguation'(TriangleAlert, destructive). Accept/Reject are icon toggle buttons (Check/X) with aria-pressed reflecting stage and sr-only 'Accept/Reject <label>' names; rows carry data-graph-node=handle and data-node-stage. The default staging accepts every acceptable node and rejects ambiguous ones, so a blind Apply accepts everything resolvable (stageFor, intentGraphReview.ts:72). The whole graph is ONE proposal/park/atomic commit (ADR-0042); sequential review is purely client-side via a local StagingBuffer in component state (not the chat store).",apps/web/src/components/ProposalCard.tsx:1326 | apps/web/src/components/ProposalCard.tsx:1628 | apps/web/src/lib/intentGraphReview.ts:72 | apps/web/src/components/ProposalCard.tsx:1296,"e2e intent-graph-review.spec.ts ('accept-all commit lands all four entities' asserts '3 items to review', node rows, New badge); unit intentGraphReview.test.ts",implemented,pass,
F064,Proposal Card UI,Ambiguous graph nodes are reject-only and block accept-all,the owner,a node matching more than one existing entry to be un-acceptable for now,I'm not silently committing the wrong link before a disambiguation picker exists,"isAcceptable (intentGraphReview.ts:28) returns false for disposition==='ambiguous'. stageFor defaults an ambiguous node to 'reject' (intentGraphReview.ts:73) and setStage (intentGraphReview.ts:79) ignores an 'accept' request on an unacceptable node. In the row, the Accept toggle is disabled when !acceptable with title 'Needs disambiguation — cannot accept yet' (ProposalCard.tsx:1802). When the plan has any ambiguous node (hasAmbiguous, intentGraphReview.ts:65) the card shows an advisory note: 'Some items match more than one existing entry. They can only be dismissed for now — disambiguation is coming soon.' (ProposalCard.tsx:1529). This is the #181 deferred picker. acceptAll/rejectAll write a total, explicit vector (ambiguous → reject) so the commit is unambiguous.",apps/web/src/lib/intentGraphReview.ts:28 | apps/web/src/lib/intentGraphReview.ts:73 | apps/web/src/components/ProposalCard.tsx:1802 | apps/web/src/components/ProposalCard.tsx:1529,unit intentGraphReview.test.ts; not exercised by the e2e specs (graph fixtures use create dispositions),implemented,pass,
F065,Proposal Card UI,Inline-edit a create node's recognition fields before applying,the owner,to correct a freshly-recognized Todo/Person/Project's surfaced fields in its row,the minted entity carries my correction via edited_fields,"A create node (not reuse/ambiguous, not re-pointed) shows a Pencil that expands the row inline into GraphNodeEditForm (ProposalCard.tsx:1838), keyed one-open-at-a-time via editingHandle. The form surfaces only the recognition surface — Todo: Title/Note; Person: Name/Aliases/Note; Project: Name/Outcome/Note (no status, no defer/due). It seeds from the committed draft (re-open) or the node's proposed entities[] fields (seedNodeDraft, intentGraphReview.ts:200). Save is gated on the required field via draftRequiredEmpty (intentGraphReview.ts:232). saveEdit (ProposalCard.tsx:1443) commits the draft to the drafts buffer, forces the node to ACCEPT (an edit applies only to a kept node), and collapses the row; Cancel discards the working draft. The collapsed row then shows the edited label (draftLabel) and, when the draft actually changes a field (buildEditedFields!==undefined) on an accepted node, replaces the disposition badge with 'Edited' (data-node-edited='true'). Edge: opening + Save with no change stores a draft but still sends a plain accept, so the badge stays 'New' (ProposalCard.tsx:1692). buildEditedFields (intentGraphReview.ts:274) emits the minimal patch: changed fields set, blanked clearable optionals as null (Core removes the key), unchanged omitted; undefined when nothing changed.",apps/web/src/components/ProposalCard.tsx:1838 | apps/web/src/components/ProposalCard.tsx:1443 | apps/web/src/lib/intentGraphReview.ts:200 | apps/web/src/lib/intentGraphReview.ts:274,"e2e intent-graph-review.spec.ts ('editing a create node sends edited_fields' — edits Todo title, asserts Edited badge + data-node-edited, edited title persisted, original absent); unit intentGraphReview.test.ts",implemented,pass,
F066,Proposal Card UI,Near-match create nodes default to reusing the existing entity with an escape hatch,the owner,a proposed-new entity that closely matches an existing one to default to reusing it,"I don't mint a duplicate, but can still force a new one","repointFor (intentGraphReview.ts:47) computes the effective re-point: an explicit RepointBuffer entry wins (string id re-points, null = 'create new instead'); with no entry a create node with EXACTLY ONE near-match defaults to that entity's id (default-to-existing). Zero or 2+ near-matches → no default (2+ defer to the #181 picker). Object.hasOwn-gated to harden against prototype-key handles. A re-pointed node (ProposalCard.tsx:1664) wears an 'Existing «<targetLabel>»' badge (reuse tone), carries data-node-repoint=<id>, is NOT editable (a reuse is linked-to, not minted), and offers a 'Create new instead' button (createNewInstead, ProposalCard.tsx:1458, sets null). A single-near-match node sent back to New offers 'Use existing «<label>»' (reuseExisting, ProposalCard.tsx:1462, clears the override + drops any edit draft + forces accept). 2+ near-matches surface an advisory 'Matches existing: <labels>' with no auto-pick (ProposalCard.tsx:1777). buildDecisions makes entity_id (re-point) win over edited_fields per node — mutually exclusive (intentGraphReview.ts:350).",apps/web/src/lib/intentGraphReview.ts:47 | apps/web/src/components/ProposalCard.tsx:1664 | apps/web/src/components/ProposalCard.tsx:1458 | apps/web/src/lib/intentGraphReview.ts:350,"e2e intent-graph-review.spec.ts ('a near-twin Project defaults to the existing entity; Apply mints no duplicate' and ""'Create new instead' overrides the near-match and mints the new Project""); unit intentGraphReview.test.ts",implemented,pass,
F067,Proposal Card UI,Rejecting a graph target a Todo links to surfaces a downgrade notice before Apply,the owner,to be warned when rejecting a Project/Person drops a kept Todo's link,I understand the Todo will land standalone before I commit,"downgradeNotices (intentGraphReview.ts:403) inspects parsed graph links (parseGraphLinks, intentGraphReview.ts:443 — only todo_project/todo_person/journal_ref kinds survive; journal_ref is skipped for downgrades). For every todo_project/todo_person link whose from-Todo is staged accept and whose to-target is staged reject, it emits a notice naming the Todo and dropped target: todo_project → '“<todo>” will be created without its project link to “<target>”.', todo_person → '“<todo>” will be created without its link to “<target>”.'. The card renders these as a bulleted list with a TriangleAlert per item (ProposalCard.tsx:1536). Each notice is keyed by todoHandle+targetHandle so a Todo losing both its project AND a person link renders two distinct notices without a React key collision (DowngradeNotice doc, intentGraphReview.ts:375).",apps/web/src/lib/intentGraphReview.ts:403 | apps/web/src/lib/intentGraphReview.ts:443 | apps/web/src/components/ProposalCard.tsx:1536,e2e intent-graph-review.spec.ts ('rejecting the Project lands the Todo standalone' asserts the 'without its project link' notice + DB standalone Todo); unit intentGraphReview.test.ts,implemented,pass,
